hpx,n,gflux,bpflux,rpflux
10240,221,3.2176725816544384E8,1.4856705720915785E8,2.5266069796154517E8
8861,79,1.5991641398199096E8,7.420917520647925E7,1.2865161325960058E8
912,338,4.061601091650776E8,2.0717160430082828E8,3.430716543316321E8
4454,94,1.1316755394787765E8,5.942892367784211E7,7.99956393814802E7
7471,524,4.687568549213896E8,1.7115178266359672E8,4.4823554283134705E8
7514,331,4.897518813171646E8,2.2333896323440212E8,3.9052385590943325E8
11801,312,4.842198327401617E8,2.3731262740983212E8,3.651083009436504E8
11960,706,8.402192776257484E8,3.9389344814053077E8,6.631742547764144E8
7902,184,3.2018878043524826E8,1.3339875866105932E8,2.7493208721286416E8
4905,111,1.9867129948736456E8,9.742385984126614E7,1.5213146097129935E8
179,123,2.925500933922347E8,1.5201768670927304E8,2.108445441803327E8
3139,182,2.979792004389921E8,1.4404929509556946E8,2.2941998656147203E8
1967,157,2.258657930264841E8,1.1190706487728639E8,1.6511402849461E8
11483,171,2.784077731068467E8,1.5029846339294314E8,2.3746933254073724E8
3117,366,5.826526884898043E8,3.056010461165216E8,4.7395561075394744E8
11337,138,2.1006301068912733E8,1.0045346170888987E8,1.5913562079561678E8
2023,167,2.2178956070435163E8,1.079101006290613E8,1.6854396149966782E8
4268,96,1.866062721478247E8,9.724307554106104E7,1.3181952104757196E8
3797,432,6.517726799395072E8,3.100084575413517E8,5.006360412441026E8
3428,299,4.332153874329636E8,2.0438441080421335E8,3.387053908188421E8
9717,160,2.4558757550681052E8,1.1063994819864008E8,1.9638631129480523E8
10659,594,7.21241137072353E8,3.232600701741363E8,5.871431527394618E8
2378,165,2.6474915856072655E8,1.2634451401216775E8,2.0464130914227164E8
12234,204,3.090463613846265E8,1.4165265511467627E8,2.4780106885796636E8
10996,137,1.4100303944425407E8,6.632311451267227E7,1.0796500839612675E8
6773,61,6.811022526859356E7,3.3400956985374402E7,4.88019185812721E7
11232,101,1.8833277608278477E8,8.738504737261885E7,1.4670550352245498E8
9443,426,7.41208117091696E8,4.205920729070691E8,5.1382096103119004E8
11256,101,1.618319674527506E8,7.520850007242113E7,1.263867646937641E8
8945,70,1.1506880790341486E8,5.886746757803399E7,8.123442079646583E7
1032,199,4.2039648896015054E8,2.0560979660054398E8,3.201333010972631E8
556,171,3.116088495989267E8,1.4421896243417135E8,2.5178738607613933E8
10585,907,1.0634052001460476E9,5.1723145856228566E8,8.713209831386614E8
1048,129,1.9075308922039983E8,9.112151445314251E7,1.465250470727958E8
7782,172,1.6118147062447086E8,6.366542313861524E7,1.4360504070039767E8
3584,377,5.741626581376014E8,3.171276864095895E8,4.019845280672426E8
10177,203,4.11412226108067E8,1.8752590651550955E8,3.314615228035106E8
11190,108,1.879196284430115E8,9.81008614644124E7,1.3051341777476905E8
9490,912,1.1205914652557955E9,5.3203815278092295E8,8.736290320968444E8
3295,493,5.770857814298087E8,2.7831875496208835E8,4.4720317674093163E8
12025,421,5.0406175771418875E8,2.1899422838743773E8,4.188364680229754E8
11997,249,3.396537921240975E8,1.4743464522129086E8,2.887107838923305E8
1206,154,2.9402067727128035E8,1.428013119181978E8,2.1989733856486437E8
6171,154,2.4475760081320074E8,1.1757254237426321E8,1.9192743008888432E8
7445,305,4.2057209992025167E8,1.782971201630147E8,3.588291554992667E8
10091,223,3.2951999544956523E8,1.4743075207433373E8,2.6632725751744583E8
742,516,7.444446981644598E8,3.5872489949734896E8,5.755437052257748E8
4167,80,1.0528286728952157E8,5.174725579913312E7,7.723644915042727E7
1597,214,3.698726764596028E8,1.9660322628133947E8,2.5632090095182386E8
11566,118,1.532500049127246E8,7.703617764397836E7,1.120423919306148E8
2997,98,1.3379442347370745E8,6.203048078761546E7,1.0418160103412202E8
10073,176,2.1880888711962178E8,1.1973487957638167E8,1.4477135770049006E8
2477,117,1.630174113540174E8,8.253501951407303E7,1.165588963540952E8
4607,99,1.5669839160340175E8,7.30529131628368E7,1.2102873476093008E8
